SER_REF,TIME_REF,DATA_VAL,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3
CPIM.SE9041S,2020,1517,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2020,1520,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2020,1523,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2020,1526,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2020,1529,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2020,1532,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1537,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1541,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1547,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1551,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1558,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1561,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1566,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1569,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1572,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1577,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1582,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2021,1588,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
CPIM.SE9041S,2022,1593,FINAL,Index,CPI,CPI Monthly Rents (National),National,Actual rentals for housing,Stock
